1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-123.75,(-34.21),1,0.0200,0.0145,0.0096,0.0046,2.78,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0221,0.0143,0.0070,0.0037,1.79,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-103.75,(-29.15),1,0.0230,0.0122,0.0111,0.0038,2.99,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0231,0.0118,0.0078,0.0032,2.29,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-82.82,(-23.99),1,0.0202,0.0098,0.0095,0.0030,2.94,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0220,0.0093,0.0071,0.0027,1.91,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-63.54,(-18.45),1,0.0202,0.0075,0.0100,0.0023,2.79,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0222,0.0069,0.0070,0.0021,1.82,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-43.02,(-11.80),1,0.0218,0.0051,0.0113,0.0016,2.84,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0227,0.0044,0.0073,0.0016,1.80,(0.0179),(0.0008),(0.0071),(0.0003),N/A
