1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-71.38,(-34.21),1,0.0177,0.0053,0.0113,0.0041,15.59,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0104,0.0051,0.0069,0.0045,17.78,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-62.55,(-29.15),1,0.0177,0.0048,0.0113,0.0036,18.65,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0103,0.0045,0.0070,0.0039,19.01,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-53.76,(-23.99),1,0.0177,0.0042,0.0113,0.0030,N/A,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0103,0.0040,0.0070,0.0032,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-44.97,(-18.45),1,0.0177,0.0037,0.0113,0.0025,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0103,0.0034,0.0070,0.0026,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-36.18,(-11.80),1,0.0177,0.0032,0.0113,0.0020,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0103,0.0028,0.0070,0.0019,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
