1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-212.38,(-34.21),1,0.0422,0.0287,0.0120,0.0088,N/A,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0392,0.0288,0.0102,0.0021,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-169.76,(-29.15),1,0.0421,0.0226,0.0120,0.0071,N/A,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0392,0.0227,0.0102,0.0020,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-127.09,(-23.99),1,0.0421,0.0165,0.0120,0.0054,N/A,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0392,0.0166,0.0102,0.0018,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-84.11,(-18.45),1,0.0421,0.0104,0.0120,0.0037,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0392,0.0104,0.0102,0.0016,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-40.74,(-11.80),1,0.0343,0.0041,0.0119,0.0019,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0385,0.0042,0.0102,0.0015,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
