1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-61.95,(-34.21),1,0.0163,0.0040,0.0199,0.0051,N/A,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0037,0.0015,0.0080,0.0049,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-51.31,(-29.15),1,0.0162,0.0033,0.0199,0.0043,N/A,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0038,0.0013,0.0080,0.004,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-40.20,(-23.99),1,0.0163,0.0026,0.0199,0.0033,N/A,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0037,0.0010,0.0080,0.0031,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-29.08,(-18.45),1,0.0162,0.0019,0.0199,0.0024,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0037,0.0008,0.0080,0.0022,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-18.35,(-11.80),1,0.0163,0.0012,0.0199,0.0016,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0037,0.0005,0.0080,0.0013,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
