1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-118.87,(-34.21),1,0.038,0.0115,0.0199,0.0063,N/A,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.037,0.01,0.0164,0.0065,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-97.75,(-29.15),1,0.038,0.0094,0.0199,0.0051,N/A,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0369,0.0083,0.0165,0.0053,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-79.15,(-23.99),1,0.038,0.0078,0.0199,0.0041,N/A,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0369,0.0068,0.0165,0.0043,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-57.56,(-18.45),1,0.038,0.0057,0.0199,0.0029,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0369,0.005,0.0165,0.003,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-35.25,(-11.80),1,0.038,0.0036,0.0199,0.0016,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0369,0.0033,0.0158,0.0017,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
