1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-93.82,(-34.21),1,0.0182,0.0061,0.014,0.0034,N/A,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0228,0.0084,0.0165,0.0066,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-75.97,(29.15),1,0.0182,0.0049,0.014,0.0026,N/A,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0228,0.0068,0.0165,0.0054,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-60.47,(23.99),1,0.0182,0.0041,0.014,0.0021,N/A,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0228,0.0053,0.0165,0.0043,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-44.81,(18.45),1,0.0182,0.0032,0.014,0.0016,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0228,0.0039,0.0165,0.003,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-29.2,(-11.80),1,0.0182,0.0023,0.014,0.001,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0228,0.0027,0.0165,0.0018,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
