1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-107.58,(-34.21),1,0.0233,0.0102,0.0161,0.0054,N/A,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0319,0.0123,0.0161,0.0031,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-87.68,(-29.15),1,0.0234,0.0082,0.0155,0.0044,N/A,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0312,0.0099,0.0163,0.0027,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-66.94,(-23.99),1,0.0229,0.0062,0.0155,0.0035,N/A,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0312,0.0073,0.0162,0.0021,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-45.69,(-18.45),1,0.023,0.0043,0.0153,0.0023,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0312,0.0045,0.0163,0.0017,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-25.27,(-11.80),1,0.0229,0.0021,0.0152,0.0013,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0306,0.0024,0.0162,0.0011,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
