1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-122.28,(-34.21),1,0.0243,0.0157,0.0117,0.0075,5.00,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0301,0.0155,0.0057,0.0008,5.17,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-102.85,(-29.15),1,0.0215,0.0132,0.0109,0.0062,4.03,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0266,0.0129,0.0058,0.0008,4.13,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-83.25,(-23.99),1,0.0239,0.0106,0.0116,0.0048,4.88,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0299,0.0102,0.0075,0.0010,5.05,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-36.39,(-18.45),1,0.0244,0.0080,0.0117,0.0034,4.95,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0301,0.0074,0.0055,0.0010,5.12,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-42.69,(-11.80),1,0.0229,0.0052,0.0115,0.0021,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0291,0.0046,0.0048,0.0011,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
