1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-223.59,(-34.21),1,0.0461,0.0322,0.0140,0.0080,7.75,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0517,0.0323,0.0027,0.0009,9.49,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-178.11,(-29.15),1,0.0462,0.0256,0.0141,0.0063,7.74,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0519,0.0256,0.0027,0.0007,9.47,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-132.54,(-23.99),1,0.0462,0.0189,0.0141,0.0047,7.74,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0518,0.0189,0.0028,0.0006,9.42,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-87.00,(-18.45),1,0.0462,0.0123,0.0141,0.0030,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0517,0.0122,0.0028,0.0005,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-41.49,(-11.80),1,0.0462,0.0056,0.0140,0.0013,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0517,0.0056,0.0027,0.0004,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
