1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-292.23,(-34.21),1,0.0576,0.0290,0.0199,0.0098,N/A,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0762,0.0286,0.0200,0.0149,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-107.21,(-29.15),1,0.0271,0.0103,0.0177,0.0072,4.35,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0350,0.0119,0.0156,0.0029,6.49,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-95.59,(-23.99),1,0.0273,0.0092,0.0177,0.0059,4.35,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0350,0.0108,0.0156,0.0027,13.64,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-89.44,(-18.45),1,0.0401,0.0088,0.0177,0.0045,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0350,0.0104,0.0198,0.0029,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-102.08,(-11.80),1,0.0538,0.0098,0.0194,0.0042,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0776,0.0109,0.0200,0.0044,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
