1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-151.11,(-34.21),1,0.0321,0.0187,0.0135,0.0037,10.84,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0327,0.0183,0.0137,0.0046,12.48,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-125.62,(-29.15),1,0.0321,0.0153,0.0133,0.0032,10.83,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0327,0.0150,0.0137,0.0040,12.49,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-100.11,(-23.99),1,0.0321,0.0120,0.0133,0.0027,10.83,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0327,0.0117,0.0137,0.0033,12.51,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-74.94,(-18.45),1,0.0321,0.0087,0.0133,0.0023,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0327,0.0084,0.0137,0.0027,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-49.54,(-11.80),1,0.0321,0.0055,0.0133,0.0018,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0327,0.0051,0.0137,0.0019,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
