1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-120.73,(-34.21),1,0.0274,0.0154,0.0157,0.0075,5.50,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0371,0.0153,0.0033,0.0007,13.47,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-97.33,(-29.15),1,0.0276,0.0123,0.0157,0.0060,6.53,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.0369,0.0122,0.0033,0.0006,12.13,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-74.04,(-23.99),1,0.0274,0.0093,0.0158,0.0046,5.47,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.0374,0.0092,0.0033,0.0005,13.99,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-50.78,(-18.45),1,0.0273,0.0062,0.0159,0.0031,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.0376,0.0061,0.0033,0.0004,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-27.31,(-11.80),1,0.0274,0.0032,0.0158,0.0016,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.0374,0.0030,0.0033,0.0003,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
