1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-83.68,(-34.21),1,0.0135,0.0053,0.0187,0.0070,10.97,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.0485,0.0083,0.0168,0.0033,11.84,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-81.92,(-29.15),1,0.0182,0.0059,0.0177,0.0069,4.70,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.035,0.0075,0.0156,0.0033,4.87,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-75.80,(-23.99),1,0.0180,0.0058,0.0177,0.0057,4.95,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.035,0.0075,0.0156,0.0029,5.92,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-71.00,(-18.45),1,0.0176,0.0059,0.0177,0.0045,6.29,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.035,0.0076,0.0156,0.0026,6.97,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-65.86,(-11.80),1,0.0181,0.0059,0.0177,0.0035,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.035,0.0073,0.0156,0.0024,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
