1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,-146.46,(-34.21),1,0.0298,0.0075,0.0116,0.0059,18.21,(0.0211),(0.0011),(0.0122),(0.0082),(10.26),2,0.011,0.0067,0.0197,0.0144,14.93,(0.0179),(0.0011),(0.0071),(0.0004),(10.26)
10,-118.89,(29.15),1,0.0297,0.0061,0.0116,0.0049,N/A,(0.0211),(0.0011),(0.0122),(0.0065),(10.33),2,0.011,0.0054,0.0197,0.0117,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.33)
15,-91.40,(23.99),1,0.0297,0.0048,0.0116,0.0038,N/A,(0.0211),(0.0011),(0.0122),(0.0048),(10.34),2,0.011,0.0040,0.0197,0.0089,N/A,(0.0179),(0.0011),(0.0071),(0.0004),(10.34)
20,-64.03,(18.45),1,0.0297,0.0034,0.0116,0.0028,N/A,(0.0211),(0.0010),(0.0122),(0.0032),N/A,2,0.011,0.0027,0.0197,0.0062,N/A,(0.0179),(0.0010),(0.0071),(0.0004),N/A
25,-36.49,(-11.80),1,0.0297,0.0021,0.0116,0.0018,N/A,(0.0211),(0.0008),(0.0122),(0.0015),N/A,2,0.009,0.0013,0.0197,0.0035,N/A,(0.0179),(0.0008),(0.0071),(0.0003),N/A
